Curso;Id_MEC;Ano_avaliacao;Modalidade;Cidade;Campus;ODP;1.1;1.2;1.3;1.4;1.5;1.6;1.7;1.8;1.9;1.10;1.11;1.12;1.13;1.14;1.15;1.16;1.17;1.18;1.19;1.20;1.21;1.22;1.23;1.24;CDT;2.1;2.2;2.3;2.4;2.5;2.6;2.7;2.8;2.9;2.10;2.11;2.12;2.13;2.14;2.15;2.16;INF;3.1;3.2;3.3;3.4;3.5;3.6;3.7;3.8;3.9;3.10;3.11;3.12;3.13;3.14;3.15;3.16;3.17;CFC;CFA;;;;
EDUCAÇÃO FÍSICA ;2275075;2024;Bacharelado ;Curitiba ;Campus  Politécnico;4,79    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;4,00;3,00;5,00;5,00;;;5,00;;;5,00;5,00;;;;;4,89    ;5,00;;5,00;5,00;5,00;4,00;5,00;;5,00;;;5,00;;;;5,00;5,00;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;;;;;;;;5,00;;4,89;5;;;;
LETRAS LIBRAS ;2275320;2024;Licenciatura ;Curitiba ;Campus  Reitoria;4,67    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;5,00;5,00;5,00;;;5,00;4,93    ;5,00;;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;;5,00;4,75;5,00;5,00;;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;5,00;;4,5;5;;;;
EDUCAÇÃO DO CAMPO / CIÊNCIAS DA NATUREZA ;2275324;2025;Licenciatura ;Matinhos ;Campus Litoral;4,83    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,00;4,00;5,00;5,00;;;4,00;;;5,00;5,00;5,00;;;5,00;5,00    ;5,00;;5,00;5,00;5,00;5,00;;5,00;5,00;;;5,00;;;;5,00;4,88;5,00;4,00;5,00;5,00;5,00;5,00;5,00;5,00;;;;;;;;;;4,91;5;;;;
Ciências Exatas Quimica;2275330;2025;Licenciatura;Jandaia do Sul;Campus Jandaia Do Sul;4    ;5,00;4,00;4,00;4,00;4,00;5,00;4,00;4,00;4,00;5,00;;5,00;4,00;3,00;3,00;5,00;3,00;;4,00;4,00;4,00;;;4,00;4,00;3,00;3,00;5,00;5,00;5,00;5,00;;3,00;5,00;3,00;3,00;4,00;5,00;2,00;3,00;5,00;4,00;3,00;4,00;3,00;4,00;5,00;5,00;4,00;4,00;4,00;;;;;;;;;4;4;;;;
CIÊNCIA DA COMPUTAÇÃO ;2287830;2025;Bacharelado ;Curitiba ;Campus  Politécnico;4,86    ;5,00;5,00;5,00;5,00;5,00;5,00;4,00;;;4,00;5,00;5,00;5,00;;;5,00;;;5,00;5,00;;;;;4,89;5,00;;5,00;5,00;5,00;5,00;5,00;;5,00;;;4,00;;;;5,00;5,00;5,00;5,00;;4,00;5,00;5,00;5,00;5,00;5,00;;;;;;;4,00;;4,85;5;;;;
MATEMÁTICA ;2289301;2025;Licenciatura ;Curitiba ;Campus  Politécnico;4,38    ;5,00;3,00;3,00;4,00;4,00;4,00;5,00;4,00;5,00;;;5,00;5,00;;;4,00;;;4,00;5,00;5,00;;;5,00;4,89    ;5,00;;5,00;5,00;5,00;5,00;;5,00;5,00;;;4,00;;;;5,00;5,00;5,00;4,00;5,00;2,00;5,00;5,00;5,00;3,00;3,00;;;;;;;;;4,5;5;;;;
QUÍMICA;2289302;2025;Bacharelado;Curitiba;Campus  Politécnico;4,00    ;5,00;1,00;4,00;5,00;5,00;1,00;5,00;4,00;5,00;5,00;;5,00;5,00;;;5,00;;;5,00;1,00;2,00;;;5,00;4,00;5,00;;3,00;3,00;5,00;4,00;;1,00;5,00;;;5,00;;;;5,00;4,38;5,00;5,00;5,00;3,00;3,00;5,00;5,00;;4,00;;;;;;;;;4,11;4;;;;
FÍSICA ;2296940;2024;Licenciatura ;Curitiba ;Campus  Politécnico;3,94    ;5,00;4,00;4,00;4,00;3,00;3,00;5,00;4,00;4,00;5,00;5,00;4,00;2,00;;;4,00;;;4,00;3,00;3,00;;;5,00;3,67    ;3,00;;4,00;3,00;3,00;4,00;;3,00;5,00;;;3,00;;;;5,00;4,50;5,00;4,00;;4,00;5,00;4,00;4,00;5,00;5,00;;;;;;;;;4;4;;;;
CIÊNCIAS EXATAS FÍSICA ;2297801;2024;Licenciatura ;Pontal do Paraná ;Campus Pontal Do Sul ;4,71    ;5,00;5,00;5,00;5,00;5,00;5,00;4,00;4,00;4,00;5,00;5,00;4,00;5,00;5,00;5,00;4,00;5,00;;5,00;5,00;4,00;;;5,00;4,69    ;5,00;3,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;;;3,00;5,00;5,00;5,00;3,00;;3,00;2,00;5,00;5,00;4,00;4,00;;;;;;;;;4,00;4,45;4;;;;
CIÊNCIAS EXATAS MATEMÁTICA ;2297802;2024;Licenciatura ;Pontal do Paraná ;Campus Pontal Do Sul ;4,95    ;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;5,00;4,00;5,00;5,00;5,00;;5,00;5,00;5,00;;;5,00;4,73    ;5,00;5,00;5,00;5,00;5,00;5,00;;4,00;5,00;5,00;5,00;5,00;5,00;5,00;3,00;4,00;4,38;5,00;3,00;;5,00;3,00;5,00;5,00;4,00;5,00;;;;;;;;;4,69;5;;;;
